"recording_id","original_recording_name","publication_label","dataset_label","severity","condition_type","rpm_nominal","load_nm","source_file_role","cross_condition_role","cross_load_role","cross_rpm_role"
"mcc5_000001_bearing_ball_H_speed_circulation_20Nm_1000rpm_250707143259","bearing_ball_H_speed_circulation_20Nm_1000rpm_250707143259","rolling_element","bearing_ball","H","speed_circulation","1000.0","20.0","train","val","val","train"
"mcc5_000002_bearing_ball_H_speed_circulation_20Nm_2000rpm_250707143705","bearing_ball_H_speed_circulation_20Nm_2000rpm_250707143705","rolling_element","bearing_ball","H","speed_circulation","2000.0","20.0","train","train","train","val"
"mcc5_000003_bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104","bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104","rolling_element","bearing_ball","H","speed_circulation","3000.0","20.0","test","train","train","test"
"mcc5_000004_bearing_ball_H_speed_circulation_40Nm_1000rpm_250707143453","bearing_ball_H_speed_circulation_40Nm_1000rpm_250707143453","rolling_element","bearing_ball","H","speed_circulation","1000.0","40.0","train","train","test","train"
"mcc5_000005_bearing_ball_H_speed_circulation_40Nm_2000rpm_250707143905","bearing_ball_H_speed_circulation_40Nm_2000rpm_250707143905","rolling_element","bearing_ball","H","speed_circulation","2000.0","40.0","train","train","test","train"
"mcc5_000006_bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708","bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708","rolling_element","bearing_ball","H","speed_circulation","3000.0","40.0","train","train","test","test"
"mcc5_000007_bearing_ball_L_speed_circulation_20Nm_1000rpm_250707154858","bearing_ball_L_speed_circulation_20Nm_1000rpm_250707154858","rolling_element","bearing_ball","L","speed_circulation","1000.0","20.0","val","train","train","train"
"mcc5_000008_bearing_ball_L_speed_circulation_20Nm_2000rpm_250707160043","bearing_ball_L_speed_circulation_20Nm_2000rpm_250707160043","rolling_element","bearing_ball","L","speed_circulation","2000.0","20.0","train","train","train","train"
"mcc5_000009_bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626","bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626","rolling_element","bearing_ball","L","speed_circulation","3000.0","20.0","train","train","train","test"
"mcc5_000010_bearing_ball_L_speed_circulation_40Nm_1000rpm_250707155133","bearing_ball_L_speed_circulation_40Nm_1000rpm_250707155133","rolling_element","bearing_ball","L","speed_circulation","1000.0","40.0","val","val","test","train"
"mcc5_000011_bearing_ball_L_speed_circulation_40Nm_2000rpm_250707160240","bearing_ball_L_speed_circulation_40Nm_2000rpm_250707160240","rolling_element","bearing_ball","L","speed_circulation","2000.0","40.0","test","train","test","train"
"mcc5_000012_bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826","bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826","rolling_element","bearing_ball","L","speed_circulation","3000.0","40.0","train","train","test","test"
"mcc5_000013_bearing_inner_H_speed_circulation_20Nm_1000rpm_250704090137","bearing_inner_H_speed_circulation_20Nm_1000rpm_250704090137","inner_race","bearing_inner","H","speed_circulation","1000.0","20.0","test","train","train","train"
"mcc5_000014_bearing_inner_H_speed_circulation_20Nm_2000rpm_250704090550","bearing_inner_H_speed_circulation_20Nm_2000rpm_250704090550","inner_race","bearing_inner","H","speed_circulation","2000.0","20.0","train","train","train","val"
"mcc5_000015_bearing_inner_H_speed_circulation_40Nm_1000rpm_250704090347","bearing_inner_H_speed_circulation_40Nm_1000rpm_250704090347","inner_race","bearing_inner","H","speed_circulation","1000.0","40.0","train","train","test","train"
"mcc5_000016_bearing_inner_H_speed_circulation_40Nm_2000rpm_250704090841","bearing_inner_H_speed_circulation_40Nm_2000rpm_250704090841","inner_race","bearing_inner","H","speed_circulation","2000.0","40.0","train","train","test","train"
"mcc5_000017_bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435","bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435","inner_race","bearing_inner","H","speed_circulation","3000.0","40.0","train","val","test","test"
"mcc5_000018_bearing_inner_L_speed_circulation_20Nm_1000rpm_250707113842","bearing_inner_L_speed_circulation_20Nm_1000rpm_250707113842","inner_race","bearing_inner","L","speed_circulation","1000.0","20.0","val","train","train","train"
