"protocol","role","publication_label","recordings"
"source_file","train","healthy","8"
"source_file","train","inner_race","16"
"source_file","train","outer_race","18"
"source_file","train","rolling_element","17"
"source_file","val","healthy","2"
"source_file","val","inner_race","3"
"source_file","val","outer_race","4"
"source_file","val","rolling_element","4"
"source_file","test","healthy","2"
"source_file","test","inner_race","4"
"source_file","test","outer_race","3"
"source_file","test","rolling_element","3"
"cross_condition","train","healthy","5"
"cross_condition","train","inner_race","9"
"cross_condition","train","outer_race","10"
"cross_condition","train","rolling_element","10"
"cross_condition","val","healthy","1"
"cross_condition","val","inner_race","2"
"cross_condition","val","outer_race","3"
"cross_condition","val","rolling_element","2"
"cross_condition","test","healthy","6"
"cross_condition","test","inner_race","12"
"cross_condition","test","outer_race","12"
"cross_condition","test","rolling_element","12"
"cross_load","train","healthy","5"
"cross_load","train","inner_race","9"
"cross_load","train","outer_race","10"
"cross_load","train","rolling_element","10"
"cross_load","val","healthy","1"
"cross_load","val","inner_race","2"
"cross_load","val","outer_race","3"
"cross_load","val","rolling_element","2"
"cross_load","test","healthy","6"
"cross_load","test","inner_race","12"
"cross_load","test","outer_race","12"
"cross_load","test","rolling_element","12"
"cross_rpm","train","healthy","6"
"cross_rpm","train","inner_race","13"
"cross_rpm","train","outer_race","13"
"cross_rpm","train","rolling_element","13"
"cross_rpm","val","healthy","2"
"cross_rpm","val","inner_race","3"
"cross_rpm","val","outer_race","3"
"cross_rpm","val","rolling_element","3"
"cross_rpm","test","healthy","4"
"cross_rpm","test","inner_race","7"
"cross_rpm","test","outer_race","9"
"cross_rpm","test","rolling_element","8"
