protocol,acquisition_date,role,publication_label,recording_count
source_file,250702,test,healthy,2
source_file,250702,train,healthy,8
source_file,250702,val,healthy,2
source_file,250704,test,inner_race,3
source_file,250704,train,inner_race,8
source_file,250707,test,inner_race,1
source_file,250707,test,outer_race,2
source_file,250707,test,rolling_element,3
source_file,250707,train,inner_race,8
source_file,250707,train,outer_race,8
source_file,250707,train,rolling_element,17
source_file,250707,val,inner_race,3
source_file,250707,val,outer_race,1
source_file,250707,val,rolling_element,4
source_file,250708,test,outer_race,1
source_file,250708,train,outer_race,8
source_file,250708,val,outer_race,3
source_file,250821,train,outer_race,2
cross_condition,250702,test,healthy,6
cross_condition,250702,train,healthy,5
cross_condition,250702,val,healthy,1
cross_condition,250704,test,inner_race,6
cross_condition,250704,train,inner_race,4
cross_condition,250704,val,inner_race,1
cross_condition,250707,test,inner_race,6
cross_condition,250707,test,outer_race,5
cross_condition,250707,test,rolling_element,12
cross_condition,250707,train,inner_race,5
cross_condition,250707,train,outer_race,4
cross_condition,250707,train,rolling_element,10
cross_condition,250707,val,inner_race,1
cross_condition,250707,val,outer_race,2
cross_condition,250707,val,rolling_element,2
cross_condition,250708,test,outer_race,6
cross_condition,250708,train,outer_race,5
cross_condition,250708,val,outer_race,1
cross_condition,250821,test,outer_race,1
cross_condition,250821,train,outer_race,1
cross_load,250702,test,healthy,6
cross_load,250702,train,healthy,5
cross_load,250702,val,healthy,1
cross_load,250704,test,inner_race,6
cross_load,250704,train,inner_race,5
cross_load,250707,test,inner_race,6
cross_load,250707,test,outer_race,6
cross_load,250707,test,rolling_element,12
cross_load,250707,train,inner_race,4
cross_load,250707,train,outer_race,2
cross_load,250707,train,rolling_element,10
cross_load,250707,val,inner_race,2
cross_load,250707,val,outer_race,3
cross_load,250707,val,rolling_element,2
cross_load,250708,test,outer_race,6
cross_load,250708,train,outer_race,6
cross_load,250821,train,outer_race,2
cross_rpm,250702,test,healthy,4
cross_rpm,250702,train,healthy,6
cross_rpm,250702,val,healthy,2
cross_rpm,250704,test,inner_race,3
cross_rpm,250704,train,inner_race,6
cross_rpm,250704,val,inner_race,2
cross_rpm,250707,test,inner_race,4
cross_rpm,250707,test,outer_race,3
cross_rpm,250707,test,rolling_element,8
cross_rpm,250707,train,inner_race,7
cross_rpm,250707,train,outer_race,7
cross_rpm,250707,train,rolling_element,13
cross_rpm,250707,val,inner_race,1
cross_rpm,250707,val,outer_race,1
cross_rpm,250707,val,rolling_element,3
cross_rpm,250708,test,outer_race,4
cross_rpm,250708,train,outer_race,6
cross_rpm,250708,val,outer_race,2
cross_rpm,250821,test,outer_race,2
