metric,comparison,count,mean,std,min,max
macro_f1,auxiliary_26_minus_no_scalars,5,0.2080155062507754,0.0867216206154076,0.1404201910966989,0.3521515132038092
macro_f1,auxiliary_context_28_minus_auxiliary_26,5,-0.0066693332575581,0.0377677974719543,-0.0610540162840267,0.0297234890925544
macro_f1,context_2_minus_no_scalars,5,0.0042434301310336,0.1352159934691265,-0.1795452211393903,0.1769019833340674
macro_f1,full_engineered_254_minus_no_scalars,5,-0.3080316610388536,0.1648111690721797,-0.4625807287684889,-0.0363796182856872
macro_f1,full_fusion_legacy_262_minus_no_scalars,5,-0.2524735518433524,0.1419850080146645,-0.4542225067333224,-0.0634584337770787
worst_class_recall,auxiliary_26_minus_no_scalars,5,0.3855058969584109,0.1450091001932567,0.22284295468653,0.5607541899441342
worst_class_recall,auxiliary_context_28_minus_auxiliary_26,5,-0.0355369335816263,0.1064598166518086,-0.1767535692116697,0.0914804469273743
worst_class_recall,context_2_minus_no_scalars,5,-0.0051675977653631,0.2227914119373661,-0.3743016759776537,0.2262569832402235
worst_class_recall,full_engineered_254_minus_no_scalars,5,-0.4067039106145252,0.1495331715451159,-0.6256983240223465,-0.2227653631284916
worst_class_recall,full_fusion_legacy_262_minus_no_scalars,5,-0.3474860335195531,0.1031070157311669,-0.4888268156424581,-0.2199720670391062
