split,feature_group,feature_count,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
cross_condition,context_only,2,random_forest,0.2857142857142857,0.2142857142857142,0.25,0.2307692307692307,0.2637362637362637,0.0
cross_condition,context_only,2,xgboost,0.2857142857142857,0.1428571428571428,0.25,0.1769230769230769,0.2021978021978022,0.0
cross_condition,vibration_time_only,36,random_forest,0.9265762170790104,0.9297671133409622,0.921671322160149,0.923990851403674,0.9264530486070532,0.8836126629422719
cross_condition,vibration_time_only,36,xgboost,0.9151370045224794,0.918261920122817,0.905027932960894,0.9095534964764996,0.9146116614783693,0.8342644320297952
cross_condition,vibration_time_frequency,60,random_forest,0.9686086725192872,0.9750605231499718,0.9725325884543762,0.9727164233504032,0.968818769543318,0.9166666666666666
cross_condition,vibration_time_frequency,60,xgboost,0.9582335727587123,0.9664405290978196,0.9612430167597764,0.9626152420701556,0.9585494734576188,0.9162011173184358
cross_condition,vibration_time_frequency_envelope,75,random_forest,0.9652833200319234,0.972879740964973,0.9696229050279328,0.9699407278433596,0.9656465461066966,0.9166666666666666
cross_condition,vibration_time_frequency_envelope,75,xgboost,0.9716679968076616,0.9765776805254264,0.9716014897579144,0.9733372842996676,0.9716202339496036,0.9162011173184358
cross_condition,nominal_order_only,54,random_forest,0.950784783187018,0.96192208564287,0.9568202979515829,0.957206784727498,0.951491768844172,0.9138733705772812
cross_condition,nominal_order_only,54,xgboost,0.9465283320031924,0.9586719301279508,0.9491387337057728,0.95172599341862,0.9472624679480808,0.914338919925512
cross_condition,keyphase_order_only,39,random_forest,0.9344240489491886,0.9491560469631396,0.9292364990689012,0.9362894431291824,0.9352688850434278,0.8929236499068901
cross_condition,keyphase_order_only,39,xgboost,0.9244479914870976,0.942627142898398,0.920391061452514,0.9275465131546508,0.9254836958879392,0.87756052141527
cross_condition,all_order_only,93,random_forest,0.9499866985900506,0.9620107324634772,0.9496042830540036,0.9536118930738048,0.9508792612788554,0.9166666666666666
cross_condition,all_order_only,93,xgboost,0.945730247406225,0.957033136837617,0.9471601489757916,0.9501962309008948,0.946274124629893,0.915270018621974
cross_condition,vibration_current_no_order,135,random_forest,0.9655493482309124,0.9725908429498628,0.9695065176908751,0.9699069769079212,0.965807773808853,0.9166666666666666
cross_condition,vibration_current_no_order,135,xgboost,0.9737962223995744,0.9785292799349384,0.9753258845437616,0.976155129533053,0.973753340724132,0.9162011173184358
cross_condition,vibration_current_plus_nominal_order,189,random_forest,0.9737962223995744,0.978606592735389,0.9767225325884544,0.9768745999440788,0.9737707715644618,0.9166666666666666
