fold,feature_set,model,aggregation,train_recordings,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
1,severity_only,training_fold_majority_rule,recording,12,13,0.9230769230769231,0.6190476190476191,0.6666666666666666,0.6410256410256411,0.8875739644970414,0.0
2,severity_only,training_fold_majority_rule,recording,13,12,0.9166666666666666,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.8787878787878788,0.0
3,severity_only,training_fold_majority_rule,recording,12,13,0.9230769230769231,0.6190476190476191,0.6666666666666666,0.6410256410256411,0.8875739644970414,0.0
4,severity_only,training_fold_majority_rule,recording,13,12,0.9166666666666666,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.8787878787878788,0.0
5,severity_only,training_fold_majority_rule,recording,12,13,0.9230769230769231,0.6190476190476191,0.6666666666666666,0.6410256410256411,0.8875739644970414,0.0
6,severity_only,training_fold_majority_rule,recording,13,12,0.9166666666666666,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.8787878787878788,0.0
7,severity_only,training_fold_majority_rule,recording,12,13,0.9230769230769231,0.6190476190476191,0.6666666666666666,0.6410256410256411,0.8875739644970414,0.0
8,severity_only,training_fold_majority_rule,recording,13,12,0.9166666666666666,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.8787878787878788,0.0
9,severity_only,training_fold_majority_rule,recording,12,13,0.9230769230769231,0.6190476190476191,0.6666666666666666,0.6410256410256411,0.8875739644970414,0.0
10,severity_only,training_fold_majority_rule,recording,13,12,0.9166666666666666,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.8787878787878788,0.0
