feature_set,model,aggregation,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,worst_class_recall_mean,worst_class_recall_std,worst_class_recall_min,worst_class_recall_max
all_features_254,random_forest,majority_vote,0.7692307692307693,0.15938509571770523,0.5833333333333334,0.9230769230769231,0.522257698728287,0.12296949646898434,0.38888888888888884,0.6410256410256411,0.0,0.0,0.0,0.0
all_features_254,random_forest,mean_probability,0.7692307692307693,0.15938509571770523,0.5833333333333334,0.9230769230769231,0.522257698728287,0.12296949646898434,0.38888888888888884,0.6410256410256411,0.0,0.0,0.0,0.0
all_features_254,xgboost,majority_vote,0.8076923076923077,0.12053251945444832,0.6153846153846154,0.9230769230769231,0.555642668877963,0.0919710519231242,0.40196078431372556,0.6410256410256411,0.0,0.0,0.0,0.0
all_features_254,xgboost,mean_probability,0.8153846153846154,0.10877726436507609,0.6666666666666666,0.9230769230769231,0.5626688126688126,0.08094940246704503,0.44047619047619047,0.6410256410256411,0.0,0.0,0.0,0.0
all_signals_without_order,random_forest,majority_vote,0.823076923076923,0.1421606745522283,0.5833333333333334,0.9230769230769231,0.5648963781316723,0.1085971175881791,0.38888888888888884,0.6410256410256411,0.0,0.0,0.0,0.0
all_signals_without_order,random_forest,mean_probability,0.8467948717948719,0.11396923930700895,0.5833333333333334,0.9230769230769231,0.5856526806526807,0.08374943092915677,0.38888888888888884,0.6410256410256411,0.0,0.0,0.0,0.0
all_signals_without_order,xgboost,majority_vote,0.8397435897435898,0.11877728298878035,0.6153846153846154,0.9230769230769231,0.5801244833597775,0.08901497069517458,0.40196078431372556,0.6410256410256411,0.0,0.0,0.0,0.0
all_signals_without_order,xgboost,mean_probability,0.8634615384615385,0.07751729180099946,0.75,0.9230769230769231,0.5995376845376846,0.05466267332773777,0.5166666666666667,0.6410256410256411,0.0,0.0,0.0,0.0
vibration_current_no_order,random_forest,majority_vote,0.7923076923076924,0.1325888705942155,0.5833333333333334,0.9230769230769231,0.5438241170594111,0.1015375254086896,0.38888888888888884,0.6410256410256411,0.0,0.0,0.0,0.0
vibration_current_no_order,random_forest,mean_probability,0.823076923076923,0.13745811361028165,0.5833333333333334,1.0,0.5975169275169275,0.16896667930782355,0.38888888888888884,1.0,0.1,0.31622776601683794,0.0,1.0
vibration_current_no_order,xgboost,majority_vote,0.8083333333333333,0.1255948662227335,0.6153846153846154,0.9230769230769231,0.5554835687188628,0.09567511121078677,0.40196078431372556,0.6410256410256411,0.0,0.0,0.0,0.0
vibration_current_no_order,xgboost,mean_probability,0.839102564102564,0.1097654376899752,0.6666666666666666,0.9230769230769231,0.5799095349095349,0.08158727187606817,0.44047619047619047,0.6410256410256411,0.0,0.0,0.0,0.0
