split_seed,model_seed,protocol,model,uses_overlapping_windows,recording_grouped,train_windows,test_windows,train_recordings,test_recordings,source_recording_overlap,window_accuracy,window_macro_f1,window_worst_class_recall,recording_metric_valid,recording_accuracy,recording_macro_f1,recording_worst_class_recall
42,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9973404255319149,0.9970945095267323,0.9906832298136646,False,,,
42,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9973544973544973,0.9972950998961122,0.9938271604938271,False,,,
42,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.9972067039106145,0.9968530976081601,0.9888268156424581,True,1.0,1.0,1.0
42,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.9925925925925926,0.9915394957535382,0.9777777777777777,True,1.0,1.0,1.0
43,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9968971631205674,0.9970804324851519,0.9940476190476191,False,,,
43,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9973544973544973,0.9972947015963064,0.9938271604938271,False,,,
43,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.9930167597765364,0.9928387978481753,0.9869646182495344,True,1.0,1.0,1.0
43,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.9944444444444445,0.9943249565628297,0.9888888888888889,True,1.0,1.0,1.0
44,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9977836879432624,0.9974740508764414,0.9937888198757764,False,,,
44,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9929453262786596,0.9930490168320953,0.985207100591716,False,,,
44,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.9986033519553073,0.9987779423936266,0.9962756052141527,True,1.0,1.0,1.0
44,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.9953703703703703,0.9959502589625132,0.9925925925925926,True,1.0,1.0,1.0
45,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9995567375886525,0.9994096455987476,0.9983792544570502,False,,,
45,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9973544973544973,0.9964863589506214,0.9876543209876543,False,,,
45,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.9990689013035382,0.9991852886405959,0.9981378026070763,True,1.0,1.0,1.0
45,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.9990740740740741,0.9991894374696039,0.9962962962962963,True,1.0,1.0,1.0
46,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9968971631205674,0.9970787312166245,0.993517017828201,False,,,
46,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9955908289241623,0.9953178924903,0.9935483870967742,False,,,
46,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.914804469273743,0.9124336812772534,0.6666666666666666,True,0.9166666666666666,0.9142857142857144,0.6666666666666666
46,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.912962962962963,0.9107031154706788,0.6666666666666666,True,0.9166666666666666,0.9142857142857144,0.6666666666666666
47,42,random_overlapping_windows,xgboost,True,False,10525,2256,84,84,84,0.9973404255319149,0.9970961337532547,0.9937888198757764,False,,,
47,42,random_nonoverlapping_windows,xgboost,False,False,5292,1134,84,84,84,0.9982363315696648,0.9980713136267475,0.9967741935483871,False,,,
47,42,recording_grouped_overlapping_windows,xgboost,True,True,10561,2148,59,12,0,0.9120111731843575,0.9092004023466761,0.6629422718808193,True,0.9166666666666666,0.9142857142857144,0.6666666666666666
47,42,recording_grouped_nonoverlapping_windows,xgboost,False,True,5310,1080,59,12,0,0.9101851851851852,0.9074705142226889,0.6592592592592592,True,0.9166666666666666,0.9142857142857144,0.6666666666666666
