recording_id,original_recording_name,publication_label,condition_type,rpm_nominal,load_nm,acquisition_timestamp,relative_raw_file,file_size_bytes,data_row_count,column_count,sha256,sha256_group_size,timestamp_group_size,exact_duplicate_content
mcc5_000001_bearing_ball_H_speed_circulation_20Nm_1000rpm_250707143259,bearing_ball_H_speed_circulation_20Nm_1000rpm_250707143259,rolling_element,speed_circulation,1000.0,20.0,250707143259,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_20Nm_1000rpm_250707143259.csv,118599098,1152000,9,7720f6a8850019f0c12579352ca2cffe4e195fb2c2ab7d6fed2f396338908d52,1,1,False
mcc5_000002_bearing_ball_H_speed_circulation_20Nm_2000rpm_250707143705,bearing_ball_H_speed_circulation_20Nm_2000rpm_250707143705,rolling_element,speed_circulation,2000.0,20.0,250707143705,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_20Nm_2000rpm_250707143705.csv,118649576,1152000,9,ae39540541e75b1d1a26a86d56ddfc8845285f582c6d3f699de8962752e68020,1,1,False
mcc5_000003_bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104,bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104,rolling_element,speed_circulation,3000.0,20.0,250707144104,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_20Nm_3000rpm_250707144104.csv,118686016,1152000,9,e9c78f0544d210a3c5649edec238b1ffd4d344c2e0defc348053c1e469cd15e8,1,1,False
mcc5_000004_bearing_ball_H_speed_circulation_40Nm_1000rpm_250707143453,bearing_ball_H_speed_circulation_40Nm_1000rpm_250707143453,rolling_element,speed_circulation,1000.0,40.0,250707143453,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_40Nm_1000rpm_250707143453.csv,118598507,1152000,9,d495ddefcae1a91993c258905bc08abdec96481812e278baa59f28265f0cb93f,1,1,False
mcc5_000005_bearing_ball_H_speed_circulation_40Nm_2000rpm_250707143905,bearing_ball_H_speed_circulation_40Nm_2000rpm_250707143905,rolling_element,speed_circulation,2000.0,40.0,250707143905,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_40Nm_2000rpm_250707143905.csv,118650678,1152000,9,c07cdd5e9cbd89ce0a585fb88a778a7c4078b144d130d59188fa8a16387b4d01,1,1,False
mcc5_000006_bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708,bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708,rolling_element,speed_circulation,3000.0,40.0,250707144708,MCC5-THU Motor_speed_circulation/bearing_ball_H_speed_circulation_40Nm_3000rpm_250707144708.csv,118691293,1152000,9,eea42b2e34ec82d63fff1795dcdedfd29da6da7ebb91d41a2549ac61f0425674,1,1,False
mcc5_000007_bearing_ball_L_speed_circulation_20Nm_1000rpm_250707154858,bearing_ball_L_speed_circulation_20Nm_1000rpm_250707154858,rolling_element,speed_circulation,1000.0,20.0,250707154858,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_20Nm_1000rpm_250707154858.csv,118602861,1152000,9,5444292e0f77812d2a31006a163b3f3eb852146b1c6785872285fbf65c927b15,1,1,False
mcc5_000008_bearing_ball_L_speed_circulation_20Nm_2000rpm_250707160043,bearing_ball_L_speed_circulation_20Nm_2000rpm_250707160043,rolling_element,speed_circulation,2000.0,20.0,250707160043,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_20Nm_2000rpm_250707160043.csv,118668828,1152000,9,acab11c2377a01b47d30e33c96accb9f56b43f6bffdfaa76acb5f5e2883a7b40,1,1,False
mcc5_000009_bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626,bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626,rolling_element,speed_circulation,3000.0,20.0,250707160626,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_20Nm_3000rpm_250707160626.csv,118707718,1152000,9,9d02d5c4f82e457c847e125f40e5ae6f02847fad92cb08a576410870370e4a4f,1,1,False
mcc5_000010_bearing_ball_L_speed_circulation_40Nm_1000rpm_250707155133,bearing_ball_L_speed_circulation_40Nm_1000rpm_250707155133,rolling_element,speed_circulation,1000.0,40.0,250707155133,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_40Nm_1000rpm_250707155133.csv,118616120,1152000,9,9c2c8125d30989bddb35fa60909eaca515108d279ff68f1c6f57599cb2026117,1,1,False
mcc5_000011_bearing_ball_L_speed_circulation_40Nm_2000rpm_250707160240,bearing_ball_L_speed_circulation_40Nm_2000rpm_250707160240,rolling_element,speed_circulation,2000.0,40.0,250707160240,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_40Nm_2000rpm_250707160240.csv,118675919,1152000,9,5836ec457e06f44d6ad5e3242b1bc841b14043fac9e5312c2a3fb8056491ecf1,1,1,False
mcc5_000012_bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826,bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826,rolling_element,speed_circulation,3000.0,40.0,250707160826,MCC5-THU Motor_speed_circulation/bearing_ball_L_speed_circulation_40Nm_3000rpm_250707160826.csv,118705560,1152000,9,28eb09f3b178af06b32e9097c2e30c216249fc55fdb6ca43e08175255d838057,1,1,False
mcc5_000013_bearing_inner_H_speed_circulation_20Nm_1000rpm_250704090137,bearing_inner_H_speed_circulation_20Nm_1000rpm_250704090137,inner_race,speed_circulation,1000.0,20.0,250704090137,MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_20Nm_1000rpm_250704090137.csv,118640982,1152000,9,51e4848db938fd4a70c761c9cc95765a6265dd1f134ccfddd1dac587d26515e1,1,1,False
mcc5_000014_bearing_inner_H_speed_circulation_20Nm_2000rpm_250704090550,bearing_inner_H_speed_circulation_20Nm_2000rpm_250704090550,inner_race,speed_circulation,2000.0,20.0,250704090550,MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_20Nm_2000rpm_250704090550.csv,118690940,1152000,9,d4f136f187f8b88136370a5d60bf3949a15b1b51c7a6ce4dfd3995c8479460a0,1,1,False
mcc5_000015_bearing_inner_H_speed_circulation_40Nm_1000rpm_250704090347,bearing_inner_H_speed_circulation_40Nm_1000rpm_250704090347,inner_race,speed_circulation,1000.0,40.0,250704090347,MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_40Nm_1000rpm_250704090347.csv,118635807,1152000,9,baa89987dac6efa81d3df766dcf8066a4c13fd10981c2a85b7d8f6d4d987f6fa,1,1,False
mcc5_000016_bearing_inner_H_speed_circulation_40Nm_2000rpm_250704090841,bearing_inner_H_speed_circulation_40Nm_2000rpm_250704090841,inner_race,speed_circulation,2000.0,40.0,250704090841,MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_40Nm_2000rpm_250704090841.csv,118690297,1152000,9,b71bf92b4a9fcc7d24408d60a6c1848206434374d6b9e702bea058a91ecb3547,1,1,False
mcc5_000017_bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435,bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435,inner_race,speed_circulation,3000.0,40.0,250704091435,MCC5-THU Motor_speed_circulation/bearing_inner_H_speed_circulation_40Nm_3000rpm_250704091435.csv,118697341,1152000,9,84078573badae373b0c71f6be584523468ba90cdae2b83d88fb87ac5659f316c,1,1,False
mcc5_000018_bearing_inner_L_speed_circulation_20Nm_1000rpm_250707113842,bearing_inner_L_speed_circulation_20Nm_1000rpm_250707113842,inner_race,speed_circulation,1000.0,20.0,250707113842,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_20Nm_1000rpm_250707113842.csv,118630251,1152000,9,1262d6235ba0cdd9be426cbd919bcf280acca79c111ac41a31acbeac18cf0eaa,1,1,False
mcc5_000019_bearing_inner_L_speed_circulation_20Nm_2000rpm_250707114350,bearing_inner_L_speed_circulation_20Nm_2000rpm_250707114350,inner_race,speed_circulation,2000.0,20.0,250707114350,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_20Nm_2000rpm_250707114350.csv,118681556,1152000,9,4fe6e01615b1b34b1e65b6f1d5af7a536bd0c4403645dbf68bc9605c93a1c166,1,1,False
mcc5_000020_bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743,bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743,inner_race,speed_circulation,3000.0,20.0,250707114743,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_20Nm_3000rpm_250707114743.csv,118702842,1152000,9,07388a8888acf006e3798b11b48657d503d37a5bae116ed0b6799dfbb305a1eb,1,1,False
mcc5_000021_bearing_inner_L_speed_circulation_40Nm_1000rpm_250707114105,bearing_inner_L_speed_circulation_40Nm_1000rpm_250707114105,inner_race,speed_circulation,1000.0,40.0,250707114105,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_40Nm_1000rpm_250707114105.csv,118640404,1152000,9,c3ea95b98e9362ed7293e91b8dd3b34efe7dd9eac4f7e0bb8e240d1bc22eb468,1,1,False
mcc5_000022_bearing_inner_L_speed_circulation_40Nm_2000rpm_250707114548,bearing_inner_L_speed_circulation_40Nm_2000rpm_250707114548,inner_race,speed_circulation,2000.0,40.0,250707114548,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_40Nm_2000rpm_250707114548.csv,118682679,1152000,9,12f04e716ed480f50469b18599ed0fb42ddc51bb0eb6ee47fd279465b297756d,1,1,False
mcc5_000023_bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941,bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941,inner_race,speed_circulation,3000.0,40.0,250707114941,MCC5-THU Motor_speed_circulation/bearing_inner_L_speed_circulation_40Nm_3000rpm_250707114941.csv,118707459,1152000,9,60f2bf5fc90e0d34b9346e4d5a1ebb39e995787a8bda1ccdf3b65c92eb89d5b9,1,1,False
mcc5_000030_bearing_outer_H_speed_circulation_20Nm_1000rpm_250707104821,bearing_outer_H_speed_circulation_20Nm_1000rpm_250707104821,outer_race,speed_circulation,1000.0,20.0,250707104821,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_1000rpm_250707104821.csv,118629131,1152000,9,3a8283b9da5bc77ad803ba40f014f2311a1fba3c43cd229049636d0b2d0b03b5,1,1,False
mcc5_000031_bearing_outer_H_speed_circulation_20Nm_2000rpm_250707105253,bearing_outer_H_speed_circulation_20Nm_2000rpm_250707105253,outer_race,speed_circulation,2000.0,20.0,250707105253,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_2000rpm_250707105253.csv,118672701,1152000,9,7cd3eed18771cdb31168e4b36f10598975f69eb46b11094ed8befda27c724db5,1,1,False
mcc5_000032_bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700,bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700,outer_race,speed_circulation,3000.0,20.0,250707105700,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_3000rpm_250707105700.csv,118688070,1152000,9,ac29ae7381807b9b9eac946535d891a7125a9ad7f75a627c3ec8f4beca2edca7,1,1,False
mcc5_000033_bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519,bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519,outer_race,speed_circulation,3000.0,20.0,250821110519,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_20Nm_3000rpm_250821110519.csv,118694220,1152000,9,d18d26ad4da5afd27e32292769e9f5bc42894622fe0a1d1d671865ed54745325,1,1,False
mcc5_000034_bearing_outer_H_speed_circulation_40Nm_1000rpm_250707105055,bearing_outer_H_speed_circulation_40Nm_1000rpm_250707105055,outer_race,speed_circulation,1000.0,40.0,250707105055,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_40Nm_1000rpm_250707105055.csv,118627654,1152000,9,afb974e3fab977a1b04e9844420172f9bf86643d327be9b71b5b424cd39b70b3,1,1,False
mcc5_000035_bearing_outer_H_speed_circulation_40Nm_2000rpm_250707105500,bearing_outer_H_speed_circulation_40Nm_2000rpm_250707105500,outer_race,speed_circulation,2000.0,40.0,250707105500,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_40Nm_2000rpm_250707105500.csv,118673196,1152000,9,93f29b3c5c05171c3dfd1d674f471a36d7cb3b942025e97a68dd9b674451949c,1,1,False
mcc5_000036_bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959,bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959,outer_race,speed_circulation,3000.0,40.0,250707105959,MCC5-THU Motor_speed_circulation/bearing_outer_H_speed_circulation_40Nm_3000rpm_250707105959.csv,118702098,1152000,9,58d64dda596449dc1d351d19846dddd133e5e739e3d431b55b2754e78d3f8ca5,1,1,False
mcc5_000037_bearing_outer_L_speed_circulation_20Nm_1000rpm_250708094556,bearing_outer_L_speed_circulation_20Nm_1000rpm_250708094556,outer_race,speed_circulation,1000.0,20.0,250708094556,MCC5-THU Motor_speed_circulation/bearing_outer_L_speed_circulation_20Nm_1000rpm_250708094556.csv,118629330,1152000,9,b634868413578ad0deef45695826370eae5aa74ac2c638cc0f378cd767bc6ff0,1,3,False
