split_seed,model_seed,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
42,42,random_forest,0.9953445065176908,0.9951373687465688,0.9946461824953444,0.994874727381038,0.9953435478680344,0.9860335195530726
42,42,xgboost,0.9972067039106144,0.9972222222222222,0.996508379888268,0.99685309760816,0.9972047122856176,0.988826815642458
43,42,random_forest,0.9916201117318436,0.9914855650474949,0.9911545623836128,0.9912735187638682,0.9916241485262628,0.9813780260707636
43,42,xgboost,0.9930167597765364,0.9930249669272956,0.9926675977653632,0.9928387978481752,0.9930144770189696,0.9869646182495344
44,42,random_forest,0.9958100558659218,0.9954660201098076,0.9958100558659218,0.9956370008424684,0.9958109728724444,0.994413407821229
44,42,xgboost,0.9986033519553073,0.9989568845618916,0.9986033519553073,0.9987779423936266,0.998603726365752,0.9962756052141528
45,42,random_forest,0.9972067039106144,0.9973286249405652,0.9972067039106144,0.9972649037440812,0.9972067508557398,0.994413407821229
45,42,xgboost,0.9990689013035382,0.999185288640596,0.999185288640596,0.999185288640596,0.9990689013035382,0.9981378026070764
46,42,random_forest,0.9129422718808192,0.933694995901293,0.9128258845437616,0.91055904591141,0.910039634996708,0.6610800744878957
46,42,xgboost,0.914804469273743,0.9349102574414464,0.9144553072625696,0.9124336812772534,0.9118591670763746,0.6666666666666666
47,42,random_forest,0.910148975791434,0.9290745584397466,0.9101489757914338,0.9069056525010808,0.9066204960676164,0.6554934823091247
47,42,xgboost,0.9120111731843576,0.930251163826412,0.9121275605214152,0.909200402346676,0.9085722386271058,0.6629422718808193
48,42,random_forest,0.914338919925512,0.9336352489988288,0.9146880819366852,0.9118702238949856,0.911406939879608,0.664804469273743
48,42,xgboost,0.9818435754189944,0.984804040376778,0.981959962756052,0.9829708240622516,0.9816517141746628,0.9292364990689012
49,42,random_forest,0.994413407821229,0.9937585237891464,0.9945297951582868,0.9941241886332302,0.9944117296501108,0.988826815642458
49,42,xgboost,0.9967411545623835,0.9968774079210972,0.9967411545623835,0.9967988938385218,0.996741064188517,0.9925512104283054
50,42,random_forest,0.994413407821229,0.9942978868927288,0.993133147113594,0.9937029417576968,0.9944068213224668,0.9832402234636872
50,42,xgboost,0.9958100558659218,0.9958118398227412,0.9947625698324022,0.9952778429661848,0.9958056222371652,0.9860335195530726
51,42,random_forest,0.9930167597765364,0.9927371746774888,0.9927839851024208,0.992732550689148,0.9930240478065656,0.988826815642458
51,42,xgboost,0.9925512104283054,0.9929792260149728,0.9924348230912476,0.9926690622222004,0.9925538290171524,0.9860335195530726
