split_seed,model_seed,stratification_unit,target_role_ratio,train_recordings,validation_recordings,test_recordings,test_classes,class_role_counts_json
42,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
43,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
44,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
45,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
46,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
47,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
48,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
49,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
50,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
51,42,label_group,70/15/15,59,13,12,4,"{""bearing_ball"": {""test"": 3, ""train"": 17, ""validation"": 4}, ""bearing_inner"": {""test"": 4, ""train"": 16, ""validation"": 3}, ""bearing_outer"": {""test"": 3, ""train"": 18, ""validation"": 4}, ""healthy"": {""test"": 2, ""train"": 8, ""validation"": 2}}"
