split_seed,split,model,aggregation,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
42,source_file_seed_42,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
42,source_file_seed_42,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
42,source_file_seed_42,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
42,source_file_seed_42,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
43,source_file_seed_43,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
43,source_file_seed_43,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
43,source_file_seed_43,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
43,source_file_seed_43,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
44,source_file_seed_44,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
44,source_file_seed_44,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
44,source_file_seed_44,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
44,source_file_seed_44,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
45,source_file_seed_45,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
45,source_file_seed_45,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
45,source_file_seed_45,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
45,source_file_seed_45,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
46,source_file_seed_46,random_forest,mean_probability,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
46,source_file_seed_46,random_forest,majority_vote,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
46,source_file_seed_46,xgboost,mean_probability,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
46,source_file_seed_46,xgboost,majority_vote,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
47,source_file_seed_47,random_forest,mean_probability,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
47,source_file_seed_47,random_forest,majority_vote,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
47,source_file_seed_47,xgboost,mean_probability,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
47,source_file_seed_47,xgboost,majority_vote,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
48,source_file_seed_48,random_forest,mean_probability,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
48,source_file_seed_48,random_forest,majority_vote,12,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.9142857142857143,0.6666666666666666
48,source_file_seed_48,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
48,source_file_seed_48,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
49,source_file_seed_49,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
49,source_file_seed_49,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
49,source_file_seed_49,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
49,source_file_seed_49,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
50,source_file_seed_50,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
50,source_file_seed_50,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
50,source_file_seed_50,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
50,source_file_seed_50,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
51,source_file_seed_51,random_forest,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
51,source_file_seed_51,random_forest,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
51,source_file_seed_51,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0
51,source_file_seed_51,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0
