split_name,model,setting,run_tag,sequence_length,scalar_feature_count,setting_label,evidence_status,aggregation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,worst_class_recall_mean,worst_class_recall_std
cross_condition,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,majority_vote,0.9761904761904762,0.0,0.9791304347826086,0.0,0.9166666666666666,0.0
cross_condition,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,mean_probability,0.9761904761904762,0.0,0.9791304347826086,0.0,0.9166666666666666,0.0
cross_condition,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,majority_vote,0.9682539682539684,0.0137464349807054,0.9721859903381644,0.0120281306081171,0.9166666666666666,0.0
cross_condition,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,mean_probability,0.9682539682539684,0.0137464349807054,0.9721859903381644,0.0120281306081171,0.9166666666666666,0.0
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,majority_vote,0.9365079365079364,0.0137464349807053,0.9450852730200556,0.0114743308716464,0.8888888888888888,0.0481125224324687
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,mean_probability,0.9365079365079364,0.0137464349807053,0.9450852730200556,0.0114743308716464,0.8888888888888888,0.0481125224324687
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,majority_vote,0.9841269841269842,0.0137464349807054,0.986086956521739,0.0120490490961313,0.9444444444444444,0.0481125224324688
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,mean_probability,0.9841269841269842,0.0137464349807054,0.986086956521739,0.0120490490961313,0.9444444444444444,0.0481125224324688
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,majority_vote,0.992063492063492,0.0137464349807054,0.9899665551839464,0.0173784361963432,0.9722222222222222,0.0481125224324688
cross_condition,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,mean_probability,0.992063492063492,0.0137464349807054,0.9899665551839464,0.0173784361963432,0.9722222222222222,0.0481125224324688
