split,feature_set,model,train_recordings,test_recordings,fit_scope,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
source_file,date_only,decision_tree,59,12,training_recordings_only,0.75,0.875,0.7708333333333334,0.7559523809523809,0.7440476190476191,0.3333333333333333
source_file,date_only,logistic_regression,59,12,training_recordings_only,0.75,0.875,0.7708333333333334,0.7559523809523809,0.7440476190476191,0.3333333333333333
source_file,date_only,dummy_most_frequent,59,12,training_recordings_only,0.25,0.0625,0.25,0.1,0.10000000000000002,0.0
source_file,operating_context_only,decision_tree,59,12,training_recordings_only,0.0,0.0,0.0,0.0,0.0,0.0
source_file,operating_context_only,logistic_regression,59,12,training_recordings_only,0.0,0.0,0.0,0.0,0.0,0.0
source_file,operating_context_only,dummy_most_frequent,59,12,training_recordings_only,0.25,0.0625,0.25,0.1,0.10000000000000002,0.0
source_file,date_and_context,decision_tree,59,12,training_recordings_only,0.75,0.875,0.7708333333333334,0.7559523809523809,0.7440476190476191,0.3333333333333333
source_file,date_and_context,logistic_regression,59,12,training_recordings_only,0.75,0.875,0.7708333333333334,0.7559523809523809,0.7440476190476191,0.3333333333333333
source_file,date_and_context,dummy_most_frequent,59,12,training_recordings_only,0.25,0.0625,0.25,0.1,0.10000000000000002,0.0
cross_condition,date_only,decision_tree,42,42,training_recordings_only,0.7380952380952381,0.8804347826086957,0.7708333333333334,0.7723057644110276,0.7397780164697457,0.5
cross_condition,date_only,logistic_regression,42,42,training_recordings_only,0.7380952380952381,0.8804347826086957,0.7708333333333334,0.7723057644110276,0.7397780164697457,0.5
cross_condition,date_only,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_condition,operating_context_only,decision_tree,42,42,training_recordings_only,0.2857142857142857,0.14285714285714285,0.25,0.15901455767077266,0.18173092305231164,0.0
cross_condition,operating_context_only,logistic_regression,42,42,training_recordings_only,0.2857142857142857,0.14285714285714285,0.25,0.18181818181818182,0.20779220779220778,0.0
cross_condition,operating_context_only,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_condition,date_and_context,decision_tree,42,42,training_recordings_only,0.7380952380952381,0.8804347826086957,0.7708333333333334,0.7723057644110276,0.7397780164697457,0.5
cross_condition,date_and_context,logistic_regression,42,42,training_recordings_only,0.7380952380952381,0.8804347826086957,0.7708333333333334,0.7723057644110276,0.7397780164697457,0.5
cross_condition,date_and_context,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_load,date_only,decision_tree,42,42,training_recordings_only,0.7142857142857143,0.875,0.75,0.75,0.7142857142857143,0.5
cross_load,date_only,logistic_regression,42,42,training_recordings_only,0.7142857142857143,0.875,0.75,0.75,0.7142857142857143,0.5
cross_load,date_only,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_load,operating_context_only,decision_tree,42,42,training_recordings_only,0.2857142857142857,0.14285714285714285,0.25,0.15901455767077266,0.18173092305231164,0.0
cross_load,operating_context_only,logistic_regression,42,42,training_recordings_only,0.2857142857142857,0.14285714285714285,0.25,0.18181818181818182,0.20779220779220778,0.0
cross_load,operating_context_only,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_load,date_and_context,decision_tree,42,42,training_recordings_only,0.7142857142857143,0.875,0.75,0.75,0.7142857142857143,0.5
cross_load,date_and_context,logistic_regression,42,42,training_recordings_only,0.7142857142857143,0.875,0.75,0.75,0.7142857142857143,0.5
cross_load,date_and_context,dummy_most_frequent,42,42,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_rpm,date_only,decision_tree,56,28,training_recordings_only,0.6785714285714286,0.8676470588235294,0.7182539682539683,0.7138461538461538,0.6735164835164836,0.42857142857142855
cross_rpm,date_only,logistic_regression,56,28,training_recordings_only,0.6785714285714286,0.7833333333333333,0.7182539682539683,0.7027591973244147,0.6644171046344959,0.42857142857142855
cross_rpm,date_only,dummy_most_frequent,56,28,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_rpm,operating_context_only,decision_tree,56,28,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_rpm,operating_context_only,logistic_regression,56,28,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_rpm,operating_context_only,dummy_most_frequent,56,28,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
cross_rpm,date_and_context,decision_tree,56,28,training_recordings_only,0.6785714285714286,0.8676470588235294,0.7182539682539683,0.7138461538461538,0.6735164835164836,0.42857142857142855
cross_rpm,date_and_context,logistic_regression,56,28,training_recordings_only,0.75,0.8833333333333333,0.7738095238095238,0.7739130434782608,0.7487577639751553,0.42857142857142855
cross_rpm,date_and_context,dummy_most_frequent,56,28,training_recordings_only,0.2857142857142857,0.07142857142857142,0.25,0.1111111111111111,0.12698412698412698,0.0
