model,split_seed,labels,confusion_matrix
random_forest,42,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,43,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,44,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,45,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,46,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,47,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,48,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,49,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,50,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
random_forest,51,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,42,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,43,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,44,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,45,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,46,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,47,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,48,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,49,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,50,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
xgboost,51,bearing_ball|bearing_inner|bearing_outer,"3,0,0;0,2,0;0,0,1"
