split_seed,split,model,aggregation,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
42,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
42,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
42,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
42,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
43,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
43,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
43,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
43,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
44,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
44,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
44,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
44,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
45,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
45,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
45,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
45,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
46,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
46,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
46,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
46,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
47,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
47,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
47,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
47,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
48,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
48,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
48,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
48,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
49,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
49,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
49,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
49,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
50,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
50,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
50,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
50,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
51,within_date_250707_three_fault_classes,random_forest,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
51,within_date_250707_three_fault_classes,random_forest,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
51,within_date_250707_three_fault_classes,xgboost,mean_probability,6,1.0,1.0,1.0,1.0,1.0,1.0
51,within_date_250707_three_fault_classes,xgboost,majority_vote,6,1.0,1.0,1.0,1.0,1.0,1.0
