feature,block
rpm_nominal,operating_context
load_nm,operating_context
vib_0_mean,vibration_time
vib_0_std,vibration_time
vib_0_rms,vibration_time
vib_0_peak,vibration_time
vib_0_peak_to_peak,vibration_time
vib_0_skewness,vibration_time
vib_0_kurtosis,vibration_time
vib_0_crest_factor,vibration_time
vib_0_impulse_factor,vibration_time
vib_0_shape_factor,vibration_time
vib_0_clearance_factor,vibration_time
vib_0_energy,vibration_time
vib_0_dominant_frequency,vibration_frequency
vib_0_spectral_centroid,vibration_frequency
vib_0_spectral_entropy,vibration_frequency
vib_0_spectral_kurtosis,vibration_frequency
vib_0_band_energy_0_500,vibration_frequency
vib_0_band_energy_500_2000,vibration_frequency
vib_0_band_energy_2000_5000,vibration_frequency
vib_0_high_frequency_ratio,vibration_frequency
vib_0_envelope_rms,vibration_envelope
vib_0_envelope_kurtosis,vibration_envelope
vib_0_envelope_spectrum_peak_freq,vibration_envelope
vib_0_envelope_spectrum_peak_amp,vibration_envelope
vib_0_envelope_band_energy,vibration_envelope
vib_0_order_energy_0.5_1.5,vibration_nominal_order
vib_0_order_energy_1.5_2.5,vibration_nominal_order
vib_0_order_energy_2.5_5,vibration_nominal_order
vib_0_order_energy_5_10,vibration_nominal_order
vib_0_order_energy_10_20,vibration_nominal_order
vib_0_order_energy_20_50,vibration_nominal_order
vib_0_peak_order,vibration_nominal_order
vib_0_peak_order_amp,vibration_nominal_order
vib_0_order_entropy,vibration_nominal_order
vib_0_keyphase_order_energy_0.5_1.5,vibration_keyphase_order
vib_0_keyphase_order_energy_1.5_2.5,vibration_keyphase_order
vib_0_keyphase_order_energy_2.5_5,vibration_keyphase_order
vib_0_keyphase_order_energy_5_10,vibration_keyphase_order
vib_0_keyphase_order_energy_10_20,vibration_keyphase_order
vib_0_keyphase_order_energy_20_50,vibration_keyphase_order
vib_0_keyphase_peak_order,vibration_keyphase_order
vib_0_keyphase_peak_order_amp,vibration_keyphase_order
vib_0_keyphase_order_entropy,vibration_keyphase_order
vib_0_keyphase_pulse_count,vibration_keyphase_order
vib_0_keyphase_estimated_rpm,vibration_keyphase_order
vib_0_keyphase_rpm_std,vibration_keyphase_order
vib_0_keyphase_angle_revolutions,vibration_keyphase_order
vib_1_mean,vibration_time
vib_1_std,vibration_time
vib_1_rms,vibration_time
vib_1_peak,vibration_time
vib_1_peak_to_peak,vibration_time
vib_1_skewness,vibration_time
vib_1_kurtosis,vibration_time
vib_1_crest_factor,vibration_time
vib_1_impulse_factor,vibration_time
vib_1_shape_factor,vibration_time
vib_1_clearance_factor,vibration_time
vib_1_energy,vibration_time
vib_1_dominant_frequency,vibration_frequency
vib_1_spectral_centroid,vibration_frequency
vib_1_spectral_entropy,vibration_frequency
vib_1_spectral_kurtosis,vibration_frequency
vib_1_band_energy_0_500,vibration_frequency
vib_1_band_energy_500_2000,vibration_frequency
vib_1_band_energy_2000_5000,vibration_frequency
vib_1_high_frequency_ratio,vibration_frequency
vib_1_envelope_rms,vibration_envelope
vib_1_envelope_kurtosis,vibration_envelope
vib_1_envelope_spectrum_peak_freq,vibration_envelope
vib_1_envelope_spectrum_peak_amp,vibration_envelope
vib_1_envelope_band_energy,vibration_envelope
vib_1_order_energy_0.5_1.5,vibration_nominal_order
vib_1_order_energy_1.5_2.5,vibration_nominal_order
vib_1_order_energy_2.5_5,vibration_nominal_order
vib_1_order_energy_5_10,vibration_nominal_order
vib_1_order_energy_10_20,vibration_nominal_order
vib_1_order_energy_20_50,vibration_nominal_order
vib_1_peak_order,vibration_nominal_order
vib_1_peak_order_amp,vibration_nominal_order
vib_1_order_entropy,vibration_nominal_order
vib_1_keyphase_order_energy_0.5_1.5,vibration_keyphase_order
vib_1_keyphase_order_energy_1.5_2.5,vibration_keyphase_order
vib_1_keyphase_order_energy_2.5_5,vibration_keyphase_order
vib_1_keyphase_order_energy_5_10,vibration_keyphase_order
vib_1_keyphase_order_energy_10_20,vibration_keyphase_order
vib_1_keyphase_order_energy_20_50,vibration_keyphase_order
vib_1_keyphase_peak_order,vibration_keyphase_order
vib_1_keyphase_peak_order_amp,vibration_keyphase_order
vib_1_keyphase_order_entropy,vibration_keyphase_order
vib_1_keyphase_pulse_count,vibration_keyphase_order
vib_1_keyphase_estimated_rpm,vibration_keyphase_order
vib_1_keyphase_rpm_std,vibration_keyphase_order
vib_1_keyphase_angle_revolutions,vibration_keyphase_order
vib_2_mean,vibration_time
vib_2_std,vibration_time
vib_2_rms,vibration_time
vib_2_peak,vibration_time
vib_2_peak_to_peak,vibration_time
vib_2_skewness,vibration_time
vib_2_kurtosis,vibration_time
vib_2_crest_factor,vibration_time
vib_2_impulse_factor,vibration_time
vib_2_shape_factor,vibration_time
vib_2_clearance_factor,vibration_time
vib_2_energy,vibration_time
vib_2_dominant_frequency,vibration_frequency
vib_2_spectral_centroid,vibration_frequency
vib_2_spectral_entropy,vibration_frequency
vib_2_spectral_kurtosis,vibration_frequency
vib_2_band_energy_0_500,vibration_frequency
vib_2_band_energy_500_2000,vibration_frequency
vib_2_band_energy_2000_5000,vibration_frequency
vib_2_high_frequency_ratio,vibration_frequency
vib_2_envelope_rms,vibration_envelope
vib_2_envelope_kurtosis,vibration_envelope
vib_2_envelope_spectrum_peak_freq,vibration_envelope
vib_2_envelope_spectrum_peak_amp,vibration_envelope
vib_2_envelope_band_energy,vibration_envelope
vib_2_order_energy_0.5_1.5,vibration_nominal_order
vib_2_order_energy_1.5_2.5,vibration_nominal_order
vib_2_order_energy_2.5_5,vibration_nominal_order
vib_2_order_energy_5_10,vibration_nominal_order
vib_2_order_energy_10_20,vibration_nominal_order
vib_2_order_energy_20_50,vibration_nominal_order
vib_2_peak_order,vibration_nominal_order
vib_2_peak_order_amp,vibration_nominal_order
vib_2_order_entropy,vibration_nominal_order
vib_2_keyphase_order_energy_0.5_1.5,vibration_keyphase_order
vib_2_keyphase_order_energy_1.5_2.5,vibration_keyphase_order
vib_2_keyphase_order_energy_2.5_5,vibration_keyphase_order
vib_2_keyphase_order_energy_5_10,vibration_keyphase_order
vib_2_keyphase_order_energy_10_20,vibration_keyphase_order
